week,away,home,away_score,home_score,model_away,model_home,spread,total,winner_correct,ats_correct,ou_correct
1,DAL,PHI,20,24,28.5,33.7,-8.5,47.5,true,,
1,KC,LAC,21,27,31.4,32.2,3,46.5,true,,
1,ARI,NO,20,13,19.5,23.5,6.5,43.5,false,,
1,PIT,NYJ,34,32,25.7,26,3,38.5,false,,
1,MIA,IND,8,33,26.1,22.6,-1.5,47.5,false,,
1,TB,ATL,23,20,25.1,29.7,1.5,47.5,false,,
1,NYG,WAS,6,21,15.1,25,-5.5,45.5,true,,
1,CAR,JAX,10,26,13.1,18.1,-3.5,46.5,true,,
1,CIN,CLE,17,16,28.4,19.9,5.5,47.5,true,,
1,LV,NE,20,13,12.9,13,-3,43.5,false,,
1,SF,SEA,17,13,28.5,29.3,2.5,43.5,false,,
1,TEN,DEN,12,20,17.3,22.8,-7.5,42.5,true,,
1,HOU,LAR,9,14,29.9,29.7,-3,43.5,false,,
1,DET,GB,13,27,33.7,30.8,-2.5,47.5,false,,
1,BAL,BUF,40,41,34.9,37.9,1.5,50.5,true,,
1,MIN,CHI,27,24,28.8,25.5,1.5,44.5,true,,
2,WAS,GB,18,27,25.2,29.2,-3,48.5,true,,
2,LAR,TEN,33,19,24,19.1,5.5,45.5,true,,
2,NYG,DAL,37,40,17.2,27.3,-3,44.5,true,,
2,SF,NO,26,21,29.1,27.2,7,44.5,true,,
2,BUF,NYJ,30,10,35.8,26.2,8.5,44.5,true,,
2,NE,MIA,33,27,12.6,27.3,-2.5,45.5,false,,
2,SEA,PIT,31,17,27,24.8,-2.5,41.5,true,,
2,CHI,DET,21,52,22.4,34.9,-4.5,48.5,true,,
2,JAX,CIN,27,31,18.4,27.9,-5.5,49.5,true,,
2,CLE,BAL,17,41,20.4,36,-12.5,44.5,true,,
2,CAR,ARI,22,27,13.5,18.5,-4.5,46.5,true,,
2,DEN,IND,28,29,22.3,25.2,3.5,44.5,true,,
2,PHI,KC,20,17,31.9,34.7,-1.5,45.5,false,,
2,ATL,MIN,22,6,27.9,32.2,-4.5,45.5,false,,
2,TB,HOU,20,19,25.1,32,-1.5,46.5,false,,
2,LAC,LV,20,9,24.8,18.6,3,44.5,true,,
3,MIA,BUF,21,31,29.6,35.1,-8.5,48.5,true,,
3,IND,TEN,41,20,18,17.1,-1.5,45.5,true,,
3,CIN,MIN,10,48,28.5,30.8,-1.5,47.5,true,,
3,PIT,NE,21,14,21.2,18.3,-1.5,43.5,true,,
3,LAR,PHI,26,33,28.7,33.4,-4.5,46.5,true,,
3,NYJ,TB,27,29,21.7,29.6,-7.5,45.5,true,,
3,LV,WAS,24,41,14.4,24.1,-7.5,47.5,true,,
3,ATL,CAR,0,30,22.7,17.7,-1.5,46.5,false,,
3,HOU,JAX,10,17,27.1,22.2,1.5,46.5,false,,
3,GB,CLE,10,13,28.7,21.7,6.5,43.5,false,,
3,NO,SEA,13,44,21.5,26.7,-6.5,43.5,true,,
3,DEN,LAC,20,23,24.2,31.9,-1.5,44.5,true,,
3,ARI,SF,15,16,22,30.5,-3.5,47.5,true,,
3,DAL,CHI,14,31,26.2,25.5,-3,47.5,false,,
3,KC,NYG,22,9,28.6,20.4,6.5,43.5,true,,
3,DET,BAL,38,30,34.9,35.6,-3.5,49.5,false,,
4,SEA,ARI,23,20,23.1,21.3,-2.5,46.5,true,,
4,MIN,PIT,21,24,31.8,27.2,1.5,42.5,false,,
4,TEN,HOU,0,26,15.8,28.4,-6,44.5,true,,
4,PHI,TB,31,25,30.4,29,2.5,48.5,true,,
4,CAR,NE,13,42,12.7,12.1,-3.5,45.5,false,,
4,LAC,NYG,18,21,25.7,19.2,3.5,43.5,false,,
4,WAS,ATL,27,34,24.8,28.4,3.5,48.5,true,,
4,NO,BUF,19,31,25.1,35.6,-12.5,46.5,true,,
4,CLE,DET,10,34,19.3,36.7,-10.5,45.5,true,,
4,IND,LAR,20,27,22,28.5,-6.5,46.5,true,,
4,JAX,SF,26,21,21.7,30.2,-5.5,48.5,false,,
4,CHI,LV,25,24,18.7,17.1,1.5,45.5,true,,
4,BAL,KC,20,37,34.3,35,-1.5,48.5,true,,
4,GB,DAL,40,40,28.9,30,2.5,47.5,true,,
4,NYJ,MIA,21,27,20.2,31.8,-5.5,44.5,true,,
4,CIN,DEN,3,28,28.9,24.6,-2.5,47.5,false,,
5,SF,LAR,26,23,30.5,31.6,-1.5,47.5,false,,
5,MIN,CLE,21,17,30.6,22.3,7,41.5,true,,
5,NYG,NO,14,26,15.5,23,1.5,42.5,true,,
5,DAL,NYJ,37,22,29.1,25,2.5,44.5,true,,
5,DEN,PHI,21,17,25,34.1,-4.5,45.5,false,,
5,HOU,BAL,44,10,30.9,35,-7.5,47.5,false,,
5,LV,IND,6,40,14.2,20.5,-1.5,44.5,true,,
5,MIA,CAR,24,27,23.2,16.5,1.5,46.5,false,,
5,TB,SEA,38,35,23.8,27.7,1.5,47.5,false,,
5,TEN,ARI,22,21,14.1,19.3,-5.5,46.5,false,,
5,WAS,LAC,27,10,25.4,29.4,-1.5,47.5,false,,
5,DET,CIN,37,24,31.9,30.5,1.5,50.5,true,,
5,NE,BUF,23,20,16,33.8,-8.5,46.5,false,,
5,KC,JAX,28,31,28.7,24,4.5,47.5,false,,
6,PHI,NYG,17,34,27.9,20,7,43.5,false,,
6,DEN,NYJ,13,11,25.6,25.4,6.5,42.5,true,,
6,CLE,PIT,9,23,20.9,27.1,-6.5,42.5,true,,
6,DAL,CAR,27,30,22.9,18.8,1.5,46.5,false,,
6,SEA,JAX,20,12,22.8,21,-1.5,46.5,true,,
6,LAR,BAL,17,3,28.9,35.8,-5.5,48.5,false,,
6,ARI,IND,27,31,18.9,22,1.5,47.5,true,,
6,LAC,MIA,29,27,26.8,30.4,2.5,45.5,false,,
6,NE,NO,25,19,13.1,22.8,3,43.5,false,,
6,TEN,LV,10,20,12.7,14.7,-3,44.5,true,,
6,SF,TB,19,30,30.1,29.5,-1.5,48.5,false,,
6,CIN,GB,18,27,27.9,28.8,-3,48.5,true,,
6,DET,KC,17,30,35,33.8,-3,48.5,false,,
6,BUF,ATL,14,24,33.8,31.7,5.5,48.5,false,,
6,CHI,WAS,25,24,20.9,26.4,-4.5,48.5,false,,
7,PIT,CIN,31,33,22.2,32.1,-4.5,46.5,true,,
7,LAR,JAX,35,7,25.1,23,3.5,47.5,true,,
7,NE,TEN,31,13,10.5,15.9,1.5,44.5,false,,
7,LV,KC,0,31,17.2,30.1,-9.5,45.5,true,,
7,PHI,MIN,28,22,31.2,33.6,3,44.5,false,,
7,NO,CHI,14,26,21.9,23.8,-7.5,44.5,true,,
7,MIA,CLE,6,31,28.2,20.1,1.5,43.5,false,,
7,CAR,NYJ,13,6,17.2,19.8,-1.5,43.5,false,,
7,IND,LAC,38,24,21.9,29.2,-6,45.5,false,,
7,NYG,DEN,32,33,17.6,23.8,-7.5,42.5,true,,
7,GB,ARI,27,23,26,23.1,2.5,47.5,true,,
7,WAS,DAL,22,44,25.9,28.5,3,48.5,true,,
7,ATL,SF,10,20,28.8,32.3,-6.5,47.5,true,,
7,TB,DET,9,24,25.6,36.1,-3.5,49.5,true,,
7,HOU,SEA,19,27,27.9,27.3,-1.5,44.5,false,,
8,MIN,LAC,10,37,30.3,31.5,-3,44.5,true,,
8,SF,HOU,15,26,29.7,33.6,1.5,45.5,true,,
8,BUF,CAR,40,9,29.7,20,7,47.5,true,,
8,MIA,ATL,34,10,27.3,28.2,-1.5,46.5,false,,
8,NYJ,CIN,39,38,20,32,-7.5,45.5,false,,
8,CHI,BAL,16,30,23.6,34.2,-7,48.5,true,,
8,CLE,NE,13,32,16.3,17.2,-5.5,42.5,true,,
8,NYG,PHI,20,38,17.5,30.4,-10.5,43.5,true,,
8,TB,NO,23,3,24.5,25.6,5.5,45.5,false,,
8,DAL,DEN,24,44,28.5,27.2,-5.5,45.5,false,,
8,TEN,IND,14,38,14.6,20.5,-3.5,44.5,true,,
8,GB,PIT,35,25,29.9,26.6,2.5,44.5,true,,
8,WAS,KC,7,28,26.5,32.3,-3.5,48.5,true,,
9,BAL,MIA,28,6,31.4,31.5,5.5,47.5,false,,
9,DEN,HOU,18,15,23.5,33.2,1.5,45.5,false,,
9,CAR,GB,16,13,15.6,26.1,-7.5,45.5,false,,
