player_display_name,player_name,position,recent_team,season,games,data_source,receiving_yards,receptions,targets,receiving_tds,receiving_epa,target_share,air_yards_share,wopr,catchRate,aDOT,yacPerRec,rushing_yards,carries,rushing_tds,rushing_epa,ypc,passing_yards,attempts,completions,passing_tds,passing_interceptions,passing_epa
Aaron Rodgers,A.Rodgers,QB,PIT,2025,16,reg_2025,-9,1,1,0,-1.5339853016194,0.0019157088122605,-0.0027439024390243,0.0009528315110737,1.0,-9.0,0.0,61,21,1,-2.95120707369991,2.9047619047619047,3322,498,327,24,7,28.3245858144168
Marcedes Lewis,M.Lewis,TE,DEN,2025,1,reg_2025,0,0,0,0,,0.0,0.0,0.0,,,,0,0,0,,,0,0,0,0,0,
Joe Flacco,J.Flacco,QB,CIN,2025,13,reg_2025,0,0,0,0,,0.0,0.0,0.0,,,,35,21,1,5.42383517105931,1.6666666666666667,2479,416,251,15,10,-40.872125217425
Josh Johnson,J.Johnson,QB,WAS,2025,3,reg_2025,0,0,0,0,,0.0,0.0,0.0,,,,55,12,1,-4.79932480363641,4.583333333333333,372,54,34,1,2,3.8190098875594
Matthew Stafford,M.Stafford,QB,LA,2025,17,reg_2025,0,0,0,0,,0.0,0.0,0.0,,,,1,29,0,-31.8353136098303,0.0344827586206896,4707,597,388,46,8,150.454307482114
Andy Dalton,A.Dalton,QB,CAR,2025,4,reg_2025,0,0,0,0,,0.0,0.0,0.0,,,,-2,5,0,-8.65915322024375,-0.4,293,37,25,1,1,-5.66167037785717
Tyrod Taylor,T.Taylor,QB,NYJ,2025,6,reg_2025,0,0,0,0,,0.0,0.0,0.0,,,,143,27,1,5.4132444769544,5.296296296296297,779,134,80,5,5,-13.3149107754829
Russell Wilson,R.Wilson,QB,NYG,2025,6,reg_2025,0,0,0,0,,0.0,0.0,0.0,,,,106,18,0,-1.28636391573001,5.888888888888889,831,119,69,3,3,-15.6662619395907
Kirk Cousins,K.Cousins,QB,ATL,2025,10,reg_2025,0,0,0,0,,0.0,0.0,0.0,,,,7,14,1,-2.49241856209119,0.5,1721,269,166,10,5,-0.930798277762301
Kyle Juszczyk,K.Juszczyk,RB,SF,2025,16,reg_2025,213,24,28,2,7.4226890297723,0.0509090909090909,0.0279329608938548,0.0959167089893347,0.8571428571428571,4.285714285714286,4.541666666666667,-3,2,0,-3.49747540056705,-1.5,0,0,0,0,0,
Adam Thielen,A.Thielen,WR,PIT,2025,14,reg_2025,186,19,35,0,5.17950284502888,0.0747863247863248,0.081447963800905,0.169193061840121,0.5428571428571428,8.742857142857142,2.3157894736842106,0,0,0,,,0,0,0,0,0,
Zach Ertz,Z.Ertz,TE,WAS,2025,13,reg_2025,504,50,72,4,11.7102959396067,0.166666666666667,0.16408204102051,0.364857428714357,0.6944444444444444,9.11111111111111,2.46,0,0,0,,,0,0,0,0,0,
Keenan Allen,K.Allen,WR,LAC,2025,17,reg_2025,777,81,122,4,34.9205234385767,0.224264705882353,0.225912890453146,0.494536082140731,0.6639344262295082,8.418032786885245,2.851851851851852,0,0,0,,,0,0,0,0,0,
Travis Kelce,T.Kelce,TE,KC,2025,17,reg_2025,851,76,108,5,40.4127537694483,0.19672131147541,0.162144275314361,0.408582959933168,0.7037037037037037,6.805555555555555,5.578947368421052,1,1,0,-1.87519072403666,1.0,0,0,0,0,0,
DeAndre Hopkins,D.Hopkins,WR,BAL,2025,17,reg_2025,330,22,39,2,9.4472290776597,0.0958230958230958,0.149912331969608,0.24867327611337,0.5641025641025641,13.153846153846152,2.9545454545454546,0,0,0,,,0,0,0,0,0,
Geno Smith,G.Smith,QB,LV,2025,15,reg_2025,0,0,0,0,,0.0,0.0,0.0,,,,109,41,0,-1.67355429116287,2.658536585365854,3025,448,302,19,17,-72.9214060488586
Brandin Cooks,B.Cooks,WR,BUF,2025,13,reg_2025,279,24,36,0,16.0357377615229,0.063716814159292,0.107791936494673,0.171029576785209,0.6666666666666666,14.333333333333334,1.7916666666666667,0,0,0,,,0,0,0,0,0,
Teddy Bridgewater,T.Bridgewater,QB,TB,2025,3,reg_2025,0,0,0,0,,0.0,0.0,0.0,,,,4,3,0,-0.0188060835935175,1.3333333333333333,62,15,8,0,0,-12.4985269496683
Jimmy Garoppolo,J.Garoppolo,QB,LA,2025,3,reg_2025,0,0,0,0,,0.0,0.0,0.0,,,,-10,9,0,0.0,-1.1111111111111112,0,0,0,0,0,
Davante Adams,D.Adams,WR,LA,2025,14,reg_2025,789,60,114,14,27.0334416795942,0.196213425129088,0.261215629522431,0.477171078359334,0.5263157894736842,12.666666666666666,1.95,0,0,0,,,0,0,0,0,0,
Mike Evans,M.Evans,WR,TB,2025,8,reg_2025,368,30,62,3,5.26632496287482,0.11460258780037,0.182948490230906,0.299967824862189,0.4838709677419355,13.290322580645162,1.2333333333333334,0,0,0,,,0,0,0,0,0,
Chris Manhertz,C.Manhertz,TE,NYG,2025,4,reg_2025,7,1,2,0,-0.380521384242456,0.003976143141153,0.0024591996422982,0.0076856544613383,0.5,5.5,6.0,0,0,0,,,0,0,0,0,0,
Jameis Winston,J.Winston,QB,NYG,2025,3,reg_2025,33,1,1,1,3.22335465252399,0.0019880715705765,0.0029063268499888,0.0050165361508569,1.0,13.0,20.0,23,7,1,4.28813393911696,3.2857142857142856,567,66,37,2,2,15.3917009882326
